text,labels
2028년 5월 27일에 친구들과 여행을 갈 계획이 있습니다.,"[6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
에밀리 스튜어트는 로프트에 체크인한 후 수건을 요청했습니다.,"[4, 5, 5, 5, 5, 5, 5, 5, 10, 10, 2, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
카렌 클락 씨는 지하 룸에서 메모지를 찾고 있었습니다.,"[4, 5, 5, 5, 5, 10, 10, 10, 10, 2, 3, 3, 3, 10, 10, 10, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
호세 힐은 파크 인 호텔에서 새 전화기를 요청했습니다.,"[4, 5, 5, 5, 10, 10, 0, 1, 1, 1, 10, 10, 10, 10, 10, 10, 10, 10, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
라이언 그린은 한국 음식을 정말 좋아합니다.,"[4, 5, 5, 5, 5, 5, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
카바나 객실에서 책상을 사용해 편하게 일할 수 있습니다.,"[2, 3, 3, 10, 10, 10, 10, 10, 10, 8, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
재클린 R. 프렌치는 세인트 레지스 호텔에서 싱글 룸을 예약했습니다.,"[4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 10, 10, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 2, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
호텔 용품인 베개 커버를 12월 19일에 토마스 테일러가 주문했습니다.,"[10, 10, 10, 10, 10, 10, 10, 8, 9, 9, 9, 9, 10, 10, 6, 7, 7, 7, 7, 7, 7, 10, 10, 4, 5, 5, 5, 5, 5, 5, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
고객님께서 예약하신 풀 뷰 룸은 2028년 8월 22일에 준비될 예정입니다.,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 2, 3, 3, 3, 3, 10, 10, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
레이첼 베이커는 아파트에서 세탁 가방을 찾고 있었다.,"[4, 5, 5, 5, 5, 5, 5, 10, 10, 2, 3, 3, 10, 10, 10, 8, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
호텔 방에 슬리퍼가 준비되어 있습니다.,"[10, 10, 10, 10, 10, 10, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
2023년 12월 15일 예약한 프리미엄 룸에 병따개가 준비되어 있습니다.,"[6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 10, 10, 10, 10, 10, 2, 3, 3, 3, 3, 3, 10, 10, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
"지난 여름, 우리는 제주도에 있는 메리어트 호텔에서 즐거운 휴가를 보냈습니다.","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 1, 1, 1, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
오늘은 3월 13일입니다.,"[10, 10, 10, 10, 6, 7, 7, 7, 7, 7, 10, 10, 10, 10]"
다니엘 마틴은 2024년 5월 22일에 호텔에서 지역 지도를 받았습니다.,"[4, 5, 5, 5, 5, 5, 10, 10, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 10, 10, 10, 10, 10, 10, 10, 8, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10]"
마리아 로드리게스 씨는 세인트 레지스 호텔의 클라우드 룸에서 묵고 있습니다.,"[4, 5, 5, 5, 5, 5, 5, 5, 5, 10, 10, 10, 10, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 10, 10, 2, 3, 3, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
카렌 클락은 2월 8일에 햄프턴 바이 힐튼에 머물렀다.,"[4, 5, 5, 5, 5, 10, 10, 6, 7, 7, 7, 7, 10, 10, 0, 1, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 10, 10, 10, 10]"
1월 12일에 친구와 함께 영화관에 갔어요.,"[6, 7, 7, 7, 7, 7, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
도니 K. 슈나이더 씨는 호텔 식기류 공급을 담당하고 있습니다.,"[4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 10, 10, 10, 10, 10, 10, 10, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
저희 호텔은 넓고 편안한 스위트 룸을 제공하고 있습니다.,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 2, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
로버트 존스는 5월 25일에 코너 룸을 예약했습니다.,"[4, 5, 5, 5, 5, 5, 10, 10, 6, 7, 7, 7, 7, 7, 10, 10, 2, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
클라우드 룸은 최고의 전망을 제공합니다.,"[2, 3, 3, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
저는 3월 29일에 만다린 오리엔탈 호텔에서 친구들과 함께 저녁식사를 할 예정입니다.,"[10, 10, 10, 6, 7, 7, 7, 7, 7, 10, 10, 0, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
저스틴 아담스님은 풀 뷰 룸에 투숙하며 호텔에서 제공한 헤어드라이어를 사용했습니다.,"[4, 5, 5, 5, 5, 5, 5, 10, 10, 10, 2, 3, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
2026년 2월 12일에 잡지 최신호가 호텔 용품에 관한 특집 기사를 다룰 예정입니다.,"[6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 10, 10, 8, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
여행 중에는 비용을 절약하기 위해 버짓 룸을 선택하는 것이 좋습니다.,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 2, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
엘리너 록하트는 2021년 7월 12일에 AC 호텔에서 머물렀다.,"[4, 5, 5, 5, 5, 5, 5, 10, 10, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 10, 10, 0, 1, 1, 1, 1, 10, 10, 10, 10, 10, 10, 10, 10]"
용선 윤 님께서는 2월 4일 호텔 인디고에서 예약하셨습니다.,"[4, 5, 5, 5, 10, 10, 10, 10, 10, 10, 6, 7, 7, 7, 7, 10, 0, 1, 1, 1, 1, 1, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
저희는 이번 주말에 힐튼 호텔에서 숙박할 예정입니다.,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 1, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
토마스 테일러씨는 리츠 칼튼 호텔의 버짓 룸을 예약했습니다.,"[4, 5, 5, 5, 5, 5, 5, 10, 10, 10, 0, 1, 1, 1, 1, 1, 1, 1, 10, 10, 2, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
이비스 호텔에서 숙박을 예약했어요.,"[0, 1, 1, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
제시카 리는 이번 주말에 메리어트 호텔에서 휴가를 보낼 예정입니다.,"[4, 5, 5, 5, 5, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 1, 1, 1, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
조셉 앤더슨 씨는 샹그릴라 호텔에서 머무는 동안 면도 크림을 요청했습니다.,"[4, 5, 5, 5, 5, 5, 10, 10, 10, 10, 0, 1, 1, 1, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
에코노 로지 호텔에서 전화기를 제공합니다.,"[0, 1, 1, 1, 1, 1, 10, 10, 10, 10, 10, 10, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10]"
호텔에서 제공하는 목욕 가운이 푹신하고 편안해요.,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
힐튼 호텔의 팝업 룸에는 깨끗한 침대 시트가 제공됩니다.,"[0, 1, 10, 10, 10, 10, 10, 2, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 8, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10]"
패트리샤 브라운 씨는 8월 29일에 커피 키트를 주문했습니다.,"[4, 5, 5, 5, 5, 5, 5, 5, 10, 10, 10, 10, 6, 7, 7, 7, 7, 7, 10, 10, 8, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
메간 베일리는 발코니 룸에서 쉬고 있다.,"[4, 5, 5, 5, 5, 5, 10, 10, 2, 3, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
2026년 2월 12일에 SLS 호텔에서 코르크따개를 요청할 수 있습니다.,"[6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 10, 10, 0, 1, 1, 1, 1, 1, 10, 10, 10, 8, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
애슐리 쿡은 오늘 서울에 도착했습니다.,"[4, 5, 5, 5, 5, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
2024년 5월 22일에 아담 머피는 수퍼 8 호텔을 방문할 예정입니다.,"[6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 10, 10, 4, 5, 5, 5, 5, 10, 10, 0, 1, 1, 1, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
사라 에반스 씨는 힐튼 호텔의 주니어 스위트룸에서 머물고 있습니다.,"[4, 5, 5, 5, 5, 5, 10, 10, 10, 10, 0, 1, 10, 10, 10, 10, 10, 2, 3, 3, 3, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
8월 22일에 펜트하우스 스위트에서 룸서비스 메뉴를 주문할 수 있습니다.,"[6, 7, 7, 7, 7, 7, 10, 10, 2, 3, 3, 3, 3, 3, 3, 3, 3, 10, 10, 10, 8, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
주니어 스위트 룸에는 웰컴 북클릿이 준비되어 있습니다.,"[2, 3, 3, 3, 3, 3, 3, 10, 10, 10, 10, 10, 8, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
1월 18일에 중요한 약속이 있습니다.,"[6, 7, 7, 7, 7, 7, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
여행 중에 프레지덴셜 스위트에서 묵는 것은 정말 환상적일 거예요.,"[10, 10, 10, 10, 10, 10, 2, 3, 3, 3, 3, 3, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
"2022년 7월 18일에 체크인했을 때, 싱글 룸에는 옷걸이가 충분히 준비되어 있었습니다.","[6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 2, 3, 3, 3, 10, 10, 10, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
레드 루프 인에서 더블 룸을 예약했어요.,"[0, 1, 1, 1, 1, 1, 1, 10, 10, 10, 2, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10]"
다니엘 마틴은 서울에서 새로운 프로젝트를 시작했습니다.,"[4, 5, 5, 5, 5, 5, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
2023년 12월 15일에 리츠 칼튼 호텔에서는 고급 샴푸를 호텔 어메니티로 제공할 예정입니다.,"[6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 10, 10, 0, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 10, 10, 10, 10, 8, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
더블트리 호텔은 편안한 숙박 경험을 제공합니다.,"[0, 1, 1, 1, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
존 밀러는 엘리먼트 호텔에서 칫솔을 받았습니다.,"[4, 5, 5, 5, 10, 10, 0, 1, 1, 1, 10, 10, 10, 10, 10, 10, 8, 9, 10, 10, 10, 10, 10, 10, 10, 10]"
11월 5일에 친구들과 만나기로 했어요.,"[6, 7, 7, 7, 7, 7, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
호텔 비품으로 물 끓이기가 제공됩니다.,"[10, 10, 10, 10, 10, 10, 10, 10, 8, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10]"
세인트 레지스 호텔에서 제공하는 커피 키트는 정말 최고입니다.,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 10, 10, 10, 10, 10, 8, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
하얏트 호텔에 예약한 커넥팅 룸은 10월 21일에 이용할 수 있습니다.,"[0, 1, 1, 10, 10, 10, 10, 10, 10, 10, 10, 10, 2, 3, 3, 3, 3, 10, 10, 6, 7, 7, 7, 7, 7, 7, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
오스틴 리베라 씨는 신혼여행을 위해 라나이 룸을 예약했습니다.,"[4, 5, 5, 5, 5, 5, 5, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 2, 3, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
에밀리 스튜어트 씨는 9월 23일에 우산을 들고 호텔에 도착했습니다.,"[4, 5, 5, 5, 5, 5, 5, 5, 10, 10, 10, 10, 6, 7, 7, 7, 7, 7, 10, 10, 8, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
디럭스 룸을 3월 3일로 예약하고 싶습니다.,"[2, 3, 3, 3, 3, 10, 10, 6, 7, 7, 7, 7, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
"2026년 6월 23일, 그레고리 로버츠는 클럽 룸에서 중요한 모임을 가졌다.","[6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 10, 10, 4, 5, 5, 5, 5, 5, 5, 5, 10, 10, 2, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
패밀리 룸 예약을 10월 13일로 잡았습니다.,"[2, 3, 3, 3, 3, 10, 10, 10, 10, 10, 6, 7, 7, 7, 7, 7, 7, 10, 10, 10, 10, 10, 10, 10, 10]"
래디슨 블루 호텔에 8월 29일 방문할 예정입니다.,"[0, 1, 1, 1, 1, 1, 10, 10, 10, 10, 10, 6, 7, 7, 7, 7, 7, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
엘리먼트 호텔의 가든 뷰 룸을 예약했습니다.,"[0, 1, 1, 1, 10, 10, 10, 10, 10, 2, 3, 3, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
쿼드 룸을 예약한 제시카 리 씨는 체크인 절차를 진행 중입니다.,"[2, 3, 3, 3, 10, 10, 10, 10, 10, 10, 4, 5, 5, 5, 5, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
2023년 4월 7일 월요일에 제시카 리가 서울에 도착했습니다.,"[6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 10, 10, 4, 5, 5, 5, 5, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
래플스 호텔에서 9월 25일에 패밀리 룸을 예약했습니다.,"[0, 1, 1, 10, 10, 10, 10, 10, 10, 6, 7, 7, 7, 7, 7, 10, 10, 2, 3, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
객실에 들어가 보니 책상 위에 메모지와 펜이 놓여 있었다.,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
크라운 플라자 호텔의 스튜디오는 매우 편안합니다.,"[0, 1, 1, 1, 1, 1, 1, 10, 10, 10, 10, 10, 2, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
JW 메리어트 호텔의 비즈니스 클래스 룸에서는 와인 잔을 무료로 제공합니다.,"[0, 1, 1, 1, 1, 1, 1, 10, 10, 10, 10, 10, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 10, 10, 10, 10, 8, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
저는 10월 21일에 영화관에 갈 예정입니다.,"[10, 10, 10, 6, 7, 7, 7, 7, 7, 7, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
라나이 룸에는 TV 리모컨이 기본적으로 제공됩니다.,"[2, 3, 3, 3, 3, 10, 10, 10, 8, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
호텔에 도착하니 방에 알람 시계가 준비되어 있었다.,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
2023년 11월 29일 월요일에 커피 키트를 주문했습니다.,"[6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 10, 10, 8, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
트레블로지 호텔에서 오션 뷰 룸을 예약했습니다.,"[0, 1, 1, 1, 1, 10, 10, 10, 10, 10, 10, 2, 3, 3, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
호텔은 1월 1일에 새로운 차 키트를 제공하기 시작했습니다.,"[10, 10, 10, 10, 6, 7, 7, 7, 7, 10, 10, 10, 10, 10, 10, 8, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
이코노미 룸은 저렴한 가격에 숙박할 수 있는 좋은 선택입니다.,"[2, 3, 3, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
월도프 아스토리아 호텔의 방갈로에 웰컴 북클릿이 준비되어 있습니다.,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 10, 10, 2, 3, 3, 10, 10, 8, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
브랜든 카터는 호텔 준비물 목록을 확인하다가 샴푸가 빠진 것을 발견했습니다.,"[4, 5, 5, 5, 5, 5, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
엘리먼트 호텔의 콤팩트 룸을 2028년 5월 27일에 예약했습니다.,"[0, 1, 1, 1, 10, 10, 10, 10, 10, 2, 3, 3, 3, 3, 10, 10, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
호텔에서 제공된 쓰레기 봉투가 매우 편리했습니다.,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
바바라 데이비스는 스위소텔에서 제공하는 알람 시계를 사용했다.,"[4, 5, 5, 5, 5, 5, 5, 5, 10, 10, 0, 1, 1, 1, 10, 10, 10, 10, 10, 10, 10, 10, 8, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10]"
재클린 R. 프렌치는 2023년 12월 17일 목요일에 로프트에 머물 예정입니다.,"[4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 10, 10, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 10, 10, 2, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
홈2 스위트 바이 힐튼에서는 고품질의 식기 세트를 제공하여 고객의 편안한 숙박을 돕습니다.,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
1월 12일에 발코니 룸에서 코르크따개를 사용할 수 있습니다.,"[6, 7, 7, 7, 7, 7, 10, 10, 2, 3, 3, 3, 3, 10, 10, 10, 8, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
마크 홀은 밀레니엄 호텔에서 선풍기를 요청했다.,"[4, 5, 5, 5, 10, 10, 0, 1, 1, 1, 10, 10, 10, 10, 10, 10, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10]"
데이비드 톰슨이 마스터 스위트를 예약했습니다.,"[4, 5, 5, 5, 5, 5, 5, 10, 10, 2, 3, 3, 3, 3, 3, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
